Nome,Calorias,Proteína,Colesterol,Carboidrato,Fibra,Ferro,Sódio,Gordura
Palmito pupunha,29,3,0,5,3,0,200,0
Pimentao,28,1,0,6,2,0,0,0
Quiabo,30,2,0,6,5,1,1,0
Tomate,21,1,0,5,2,0,5,0
Cenoura,30,1,0,7,3,0,8,0
Chuchu,19,0,0,5,1,0,2,0
Couve-Flor,19,1,0,4,2,0,2,0
Beterraba,32,1,0,7,2,0,10,0
Aipo,19,0,0,4,1,1,10,0
Caesar Salad,209,21,5,10,2,3,10,5
Espinafre,67,3,0,4,3,0,47,6
Jilo,27,2,0,6,5,0,0,0
Rucula,13,0,0,2,1,0,0,0
